,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,Color,Continent
0,Chevrolet Chevelle Malibu,18.0,8,307.0,130,3504,12.0,70,US,blue,America
1,Buick Skylark 320,15.0,8,350.0,165,3693,11.5,70,US,red,America
2,Plymouth Satellite,18.0,8,318.0,150,3436,11.0,70,US,blue,America
3,AMC Rebel SST,16.0,8,304.0,150,3433,12.0,70,US,green,America
4,Ford Torino,17.0,8,302.0,140,3449,10.5,70,US,red,America
5,Ford Galaxie 500,15.0,8,429.0,198,4341,10.0,70,US,red,America
6,Chevrolet Impala,14.0,8,454.0,220,4354,9.0,70,US,green,America
7,Plymouth Fury iii,14.0,8,440.0,215,4312,8.5,70,US,blue,America
8,Pontiac Catalina,14.0,8,455.0,225,4425,10.0,70,US,blue,America
9,AMC Ambassador DPL,15.0,8,390.0,190,3850,8.5,70,US,green,America
10,Citroen DS-21 Pallas,0.0,4,133.0,115,3090,17.5,70,Europe,blue,Europe
11,Chevrolet Chevelle Concours (sw),0.0,8,350.0,165,4142,11.5,70,US,blue,America
12,Ford Torino (sw),0.0,8,351.0,153,4034,11.0,70,US,blue,America
13,Plymouth Satellite (sw),0.0,8,383.0,175,4166,10.5,70,US,blue,America
14,AMC Rebel SST (sw),0.0,8,360.0,175,3850,11.0,70,US,blue,America
15,Dodge Challenger SE,15.0,8,383.0,170,3563,10.0,70,US,green,America
16,Plymouth 'Cuda 340,14.0,8,340.0,160,3609,8.0,70,US,blue,America
17,Ford Mustang Boss 302,0.0,8,302.0,140,3353,8.0,70,US,red,America
18,Chevrolet Monte Carlo,15.0,8,400.0,150,3761,9.5,70,US,red,America
19,Buick Estate Wagon (sw),14.0,8,455.0,225,3086,10.0,70,US,blue,America
20,Toyota Corolla Mark ii,24.0,4,113.0,95,2372,15.0,70,Japan,blue,Asia
21,Plymouth Duster,22.0,6,198.0,95,2833,15.5,70,US,blue,America
22,AMC Hornet,18.0,6,199.0,97,2774,15.5,70,US,blue,America
23,Ford Maverick,21.0,6,200.0,85,2587,16.0,70,US,blue,America
24,Datsun PL510,27.0,4,97.0,88,2130,14.5,70,Japan,green,Asia
25,Volkswagen 1131 Deluxe Sedan,26.0,4,97.0,46,1835,20.5,70,Europe,red,Europe
26,Peugeot 504,25.0,4,110.0,87,2672,17.5,70,Europe,red,Europe
27,Audi 100 LS,24.0,4,107.0,90,2430,14.5,70,Europe,blue,Europe
28,Saab 99e,25.0,4,104.0,95,2375,17.5,70,Europe,red,Europe
29,BMW 2002,26.0,4,121.0,113,2234,12.5,70,Europe,green,Europe
30,AMC Gremlin,21.0,6,199.0,90,2648,15.0,70,US,blue,America
31,Ford F250,10.0,8,360.0,215,4615,14.0,70,US,green,America
32,Chevy C20,10.0,8,307.0,200,4376,15.0,70,US,blue,America
